iter	Logloss
0	0.6602808809
1	0.6307870788
2	0.6061127851
3	0.5869138606
4	0.5668552875
5	0.5505493894
6	0.53631705
7	0.5235374762
8	0.5118367615
9	0.502222473
10	0.4945383368
11	0.4870189907
12	0.4804424283
13	0.4743045015
14	0.4689674849
15	0.4632599939
16	0.4588291003
17	0.454925297
18	0.4513503847
19	0.4478393097
20	0.4451273035
21	0.4427417472
22	0.4406399704
23	0.4381343288
24	0.4358625862
25	0.4333483716
26	0.4318694982
27	0.4303974207
28	0.4287345969
29	0.4274852584
30	0.4258846578
31	0.4246852564
32	0.4234339739
33	0.4223592837
34	0.4213363237
35	0.4204475696
36	0.4195543925
37	0.4185385706
38	0.417802488
39	0.4171049022
40	0.4164328194
41	0.4159142326
42	0.4151667011
43	0.4144733591
44	0.413721842
45	0.4133934943
46	0.4130200205
47	0.4124065943
48	0.4119938133
49	0.4114469605
50	0.4110045598
51	0.4107234355
52	0.410166988
53	0.4098156909
54	0.4094773378
55	0.4088923973
56	0.4086191419
57	0.4082767021
58	0.4078792467
59	0.4075006841
60	0.4070693341
61	0.406684996
62	0.4064802621
63	0.406244017
64	0.4059058292
65	0.4055982618
66	0.4053130903
67	0.4048906516
68	0.4046780683
69	0.4043386966
70	0.4039237369
71	0.4036005697
72	0.4033531794
73	0.403104815
74	0.4027968213
75	0.4025577736
76	0.4023815183
77	0.4022110136
78	0.4019467494
79	0.4015034037
80	0.4012865271
81	0.4011487907
82	0.400917888
83	0.4007004048
84	0.4005319351
85	0.4003723612
86	0.4002220996
87	0.3999938008
88	0.3998145026
89	0.3996818062
90	0.3994882318
91	0.399308835
92	0.3991240704
93	0.3989847008
94	0.3988313703
95	0.3986287794
96	0.3984564332
97	0.3983264871
98	0.3981765142
99	0.3981116864
100	0.3979247998
101	0.3976700069
102	0.3975406804
103	0.397442986
104	0.3973108331
105	0.3971456429
106	0.3970179879
107	0.3968032967
108	0.3966665555
109	0.3965639886
110	0.3964447278
111	0.396374963
112	0.3961455659
113	0.3960891739
114	0.3959633575
115	0.3958746369
116	0.3957016646
117	0.395564178
118	0.3953385518
119	0.3952077087
120	0.3950539871
121	0.3949369363
122	0.3948384589
123	0.3946657099
124	0.3944874513
125	0.3944210835
126	0.3943164035
127	0.3942052317
128	0.394110637
129	0.3939218336
130	0.3937752966
131	0.3936835634
132	0.3935743628
133	0.3933065199
134	0.3932191903
135	0.3930293398
136	0.3928686268
137	0.3927269348
138	0.3926431778
139	0.3925503154
140	0.3922931458
141	0.3922041683
142	0.3921121785
143	0.3919906161
144	0.3918611271
145	0.3918316819
146	0.3916568145
147	0.3914982484
148	0.3914100949
149	0.3912989147
150	0.3912075762
151	0.3909763164
152	0.3908172085
153	0.3907099317
154	0.3906298104
155	0.3905429871
156	0.3903774128
157	0.3902342397
158	0.3901151755
159	0.3900412879
160	0.38995794
161	0.3898195635
162	0.3896481487
163	0.3895924757
164	0.389443142
165	0.3893294497
166	0.3891829988
167	0.3890585272
168	0.3889230913
169	0.3887721673
170	0.3887064617
171	0.388616367
172	0.3884298207
173	0.3882477812
174	0.3880484553
175	0.3878680713
176	0.3877029172
177	0.3875009317
178	0.3873377568
179	0.38718468
180	0.387113902
181	0.3869886647
182	0.3868747563
183	0.3867202085
184	0.3866270699
185	0.386520925
186	0.3864380502
187	0.3863215756
188	0.3861158561
189	0.385908318
190	0.385697987
191	0.3854290618
192	0.3853305863
193	0.3852311989
194	0.3850932238
195	0.3849149408
196	0.3846726642
197	0.3844593399
198	0.3843583604
199	0.3842288925
