iter	Passed	Remaining
0	7	1404
1	14	1483
2	21	1425
3	29	1453
4	36	1438
5	45	1479
6	53	1485
7	63	1515
8	71	1508
9	80	1532
10	88	1514
11	97	1529
12	105	1522
13	113	1513
14	123	1520
15	131	1511
16	138	1495
17	146	1484
18	154	1469
19	161	1456
20	168	1439
21	177	1432
22	184	1419
23	193	1415
24	200	1401
25	209	1398
26	216	1388
27	225	1384
28	233	1375
29	241	1368
30	248	1357
31	257	1353
32	265	1341
33	273	1334
34	280	1322
35	288	1314
36	296	1304
37	304	1298
38	312	1289
39	321	1285
40	329	1277
41	338	1272
42	345	1260
43	353	1253
44	360	1243
45	369	1236
46	376	1226
47	385	1220
48	393	1211
49	402	1208
50	410	1199
51	418	1191
52	426	1182
53	434	1173
54	441	1165
55	450	1158
56	457	1148
57	467	1144
58	475	1135
59	483	1128
60	491	1118
61	499	1112
62	506	1102
63	515	1096
64	523	1086
65	533	1082
66	540	1072
67	548	1065
68	556	1056
69	564	1048
70	571	1039
71	580	1031
72	587	1022
73	595	1014
74	603	1005
75	612	998
76	619	990
77	628	983
78	636	974
79	644	967
80	652	958
81	661	952
82	669	943
83	677	936
84	685	927
85	694	920
86	701	911
87	709	902
88	716	893
89	726	887
90	733	878
91	741	870
92	749	862
93	758	855
94	765	846
95	774	838
96	781	830
97	790	822
98	797	813
99	806	806
100	813	797
101	822	790
102	829	781
103	838	773
104	845	764
105	854	757
106	862	749
107	871	742
108	879	734
109	888	726
110	895	718
111	905	711
112	913	703
113	922	695
114	929	687
115	937	679
116	945	670
117	952	662
118	960	653
119	969	646
120	977	637
121	985	630
122	993	621
123	1001	614
124	1009	605
125	1017	597
126	1024	589
127	1033	581
128	1041	572
129	1049	565
130	1057	557
131	1065	548
132	1073	540
133	1080	532
134	1087	523
135	1096	515
136	1103	507
137	1112	499
138	1120	491
139	1130	484
140	1137	476
141	1145	467
142	1152	459
143	1161	451
144	1168	443
145	1177	435
146	1184	427
147	1193	419
148	1200	411
149	1209	403
150	1217	395
151	1226	387
152	1234	379
153	1242	371
154	1249	362
155	1257	354
156	1265	346
157	1274	338
158	1282	330
159	1290	322
160	1298	314
161	1307	306
162	1315	298
163	1323	290
164	1331	282
165	1338	274
166	1345	265
167	1354	257
168	1361	249
169	1369	241
170	1377	233
171	1385	225
172	1393	217
173	1401	209
174	1409	201
175	1418	193
176	1426	185
177	1434	177
178	1441	169
179	1450	161
180	1458	153
181	1467	145
182	1474	136
183	1483	128
184	1490	120
185	1499	112
186	1507	104
187	1516	96
188	1524	88
189	1532	80
190	1539	72
191	1547	64
192	1554	56
193	1562	48
194	1571	40
195	1580	32
196	1589	24
197	1597	16
198	1604	8
199	1613	0
